comuna,region_id,region_nombre,fuente,numero,fecha,titulo,materia,url,source_listing_url,sha256,rdf_url
Arica,15,Arica y Parinacota,BCN,2539,1999-09-01,ORDENANZA MUNICIPAL SOBRE PATENTES DE ALCOHOLES Y HORARIO DE FUNCIONAMIENTO DE ESTABLECIMIENTOS DE EXPENDIO DE BEBIDAS ALCOHOLICAS,"Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=141943,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-arica/1999-09-01/2539/datos.json
Arica,15,Arica y Parinacota,Municipalidad,02,2026-01-01,Ordenanza Municipal de ARICA — ordenanza n 02 para el cobro municipal 2026,Derechos Municipales y Tarifas,https://docs.muniarica.cl/web/media/documentos/2025/10/ordenanza-n-02-para-el-cobro-municipal-2026.pdf,https://docs.muniarica.cl/web/media/documentos/2025/10/ordenanza-n-02-para-el-cobro-municipal-2026.pdf,9ca031334f1e7582aca7c3c139152612489c5be5e8c6fedb84117d8b5b667bba,
Arica,15,Arica y Parinacota,Municipalidad,S/N,2026-01-01,Ordenanza Municipal de ARICA — ordenanza municipal diciembre,Normativa General y Otras Materias,https://docs.muniarica.cl/web/media/documentos/2025/12/ordenanza-municipal-diciembre.pdf,https://docs.muniarica.cl/web/media/documentos/2025/12/ordenanza-municipal-diciembre.pdf,29438329ef3d27542c1947fdfafe75bcc96e279565fe3e77e9052fa3d9cc4636,
Arica,15,Arica y Parinacota,Municipalidad,1,2026-01-01,Ordenanza Municipal de ARICA — ordenanza n 1 2026,Normativa General y Otras Materias,https://docs.muniarica.cl/web/media/documentos/2026/06/ordenanza-n-1-2026.pdf,https://docs.muniarica.cl/web/media/documentos/2026/06/ordenanza-n-1-2026.pdf,3eaebd29fde45e4808352a94a246483f86b04e160a571bfd653ec5822f682a36,
General Lagos,15,Arica y Parinacota,BCN,3,1987-01-27,"DICTA: ORDENANANZA MUNICIPAL SOBRE DEHECHOS MUNICIPALES POR CONCESIONES, PERMISOS Y SERVICIOS",Derechos Municipales y Tarifas,https://www.bcn.cl/leychile/navegar?idNorma=147770,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-general-lagos/1987-01-27/3/datos.json
General Lagos,15,Arica y Parinacota,BCN,5,1987-01-27,DICTASE LA SIGUIENTE ORDENANZA MUNICIPAL SOBRE NORMAS SANITARIAS BASICAS,Normativa General y Otras Materias,https://www.bcn.cl/leychile/navegar?idNorma=147771,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-general-lagos/1987-01-27/5/datos.json
General Lagos,15,Arica y Parinacota,BCN,6,1987-01-27,DICTA ORDENANZA MUNICIPAL QUE REGULA EL FUNCIONAMIENTO DE LAS FERIAS FRONTERIZAS DE LA COMUNA,"Comercio, Alcoholes y Patentes",https://www.bcn.cl/leychile/navegar?idNorma=147762,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-general-lagos/1987-01-27/6/datos.json
Iquique,01,Tarapacá,BCN,478,2014-09-08,"APRUEBA ORDENANZA QUE REGULA EL USO DE LOS ESPACIOS DE DOMINIO PÚBLICO, EL RETIRO DE VEHÍCULOS QUE SE ENCUENTREN EN ESTADO DE ABANDONO Y/O MAL ESTACIONADOS, EN LAS VÍAS PÚBLICAS, Y DE LAS CERCAS Y/O ENREJADOS LEVANTADOS EN LAS MISMAS, SIN LOS PERMISOS O AUTORIZACIONES CORRESPONDIENTES",Tránsito y Transporte,https://www.bcn.cl/leychile/navegar?idNorma=1066275,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-iquique/2014-09-08/478/datos.json
Iquique,01,Tarapacá,BCN,474,2013-10-23,"MODIFICA ORDENANZA MUNICIPAL Nº 472, DE 2013",Normativa General y Otras Materias,https://www.bcn.cl/leychile/navegar?idNorma=1055437,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-iquique/2013-10-23/474/datos.json
Iquique,01,Tarapacá,BCN,472,2013-10-03,NOMBRA PLAZA SOLDADO PEDRO PRADO A LA PLAZA UBICADA FRENTE AL CEMENTERIO Nº 3,"Salud, Deporte y Desarrollo Social",https://www.bcn.cl/leychile/navegar?idNorma=1054876,,,https://datos.bcn.cl/recurso/cl/orz/municipalidad-de-iquique/2013-10-03/472/datos.json
